Date,Payee,Amount
11/22/2025,AMAZON MKTPL*B07QP0DT0,-6.98
11/22/2025,AMAZON MKTPL*B01244RV1,-118.39
11/22/2025,Amazon.com*B046R2RM1,-704.22
2026-06-27,Health & Household|Water Bottle Brush,9.99
2026-06-23,Health & Household|Amazon Basics 2-Ply Soft Toilet Paper,5.35
2026-06-23,Health & Household|Affresh Washing Machine Cleaner,9.99
2026-06-23,Health & Household|Scotch-Brite Zero Scratch Scrub Sponge,7.4
2026-06-23,Health & Household|Amazon Basics Heavy Duty Aluminum Foil for Cooking,8.7
2026-06-23,Electronics|Apple EarPods Headphones with USB-C Plug,19.0
2026-06-23,Home & Kitchen|Amazon Basics Non-Stick Parchment Paper for Baking,5.47
2026-06-23,Health & Household|Mr. Clean Magic Eraser Sponge,5.39
2026-06-23,Industrial & Scientific|Puracy Stain Remover Pen Stain Stick,5.99
2026-06-23,Health & Household|KIK 8635042 Pure Bright Ultra Bleach 1 Gal White,13.74
2026-06-20,Electronics|Logitech Lift Vertical Ergonomic Mouse,58.99
2026-06-10,Tools & Home Improvement|First Alert Combination Smoke & Carbon Monoxide Alarm,121.97
2026-06-10,Tools & Home Improvement|First Alert Combination Smoke & Carbon Monoxide Alarm,39.99
2026-05-30,Electronics|NEEWER Basics NL-60AI Selfie Light for Phone with Front & Back Clip,28.99
2026-05-30,"Electronics|EUCOS 63"" Magsafe Tripod",25.99
2026-05-30,Musical Instruments|Wireless Mini Microphone for iPhone,24.99
2026-05-30,Cell Phones & Accessories|OCTOBUDDY Classic - Silicone Suction Phone Case Adhesive Mount - Hands-Free,14.99
2026-05-28,"Patio, Lawn & Garden|74"" Shepherds Hook Stand for Plant: Hanging Bird Feeders",59.99
2026-05-28,"Patio, Lawn & Garden|Garbuildman Squirrel Baffle for Bird Feeder Pole",31.99
2026-05-12,Books|The Oxford English Grammar,14.9
2026-05-11,Grocery & Gourmet Food|Goodles Shella Good Aged White Cheddar and Shells Pasta - Nutrient Packed with Real Cheese,2.98
2026-05-11,Grocery & Gourmet Food|Goodles Cheddy Mac Creamy Cheddar and Macaroni Pasta - Nutrient Packed with Real Cheese,5.96
2026-05-11,Grocery & Gourmet Food|Kooshy Panko Italian Style Breadcrumbs | Vegan,12.99
2026-05-11,Grocery & Gourmet Food|Kooshy Croutons | Italian Sourdough Bread with Sea Salt,13.47
2026-05-06,"Patio, Lawn & Garden|Squirrel Proof Bird Feeder - 360° Feeding Perch Tray for Outdoor Hanging Wild Bird Seeds",27.99
2026-05-06,Pet Supplies|eWonLife Hummingbird Feeders for Outdoors,13.96
2026-05-06,"Patio, Lawn & Garden|Squirrel Buster Classic Squirrel-proof Bird Feeder w/4 Feeding Ports",78.01
2026-05-04,Health & Household|Reure High Fidelity Concert Ear Plugs,9.99
2026-04-26,Health & Household|Oral-B Electric Toothbrush Replacement Brush Heads,27.99
2026-04-19,Industrial & Scientific|DIYMAG 6 Pack Strong Magnets with Double Sided Adhesive Backing,8.99
2026-04-19,Books|A Mason & Dixon Companion,30.95
2026-04-08,Electronics|ASURION 2 Year Floorcare Extended Protection Plan ($30 - $39.99),3.99
2026-04-08,Home & Kitchen|JONYJ Handheld Vacuum Cordless,39.99
2026-04-08,Home & Kitchen|Steelcase Series 1 Work Office Chair - Licorice,590.72
2026-04-08,"Patio, Lawn & Garden|Suncast Small Outdoor Storage Box - 22 Gallon Java Resin Outdoor Deck Box",54.0
2026-03-29,Grocery & Gourmet Food|Sweet Haven Fruity Chewy Mix Candy- Mango,8.9
2026-03-16,Books|THE ARABIAN NIGHTS ENTERTAINMENT: THE BOOK OF THE THOUSAND NIGHTS AND A NIGHT - VOLS. I - VI - THE CO,79.0
2026-03-16,"Clothing, Shoes & Jewelry|lifpoivake Men's Renaissance Pirate Medieval Vest Cosplay Waistcoat(XL",23.99
2026-03-11,Pet Supplies|dreamysoul Metal Bird Bath for Outside,48.99
2026-03-11,"Patio, Lawn & Garden|Kingsyard Platform Mealworm Bird Feeder for Outside",26.99
2026-03-07,Health & Household|Glad ForceFlex Tall Kitchen Trash Bags,39.24
2026-03-05,Health & Household|Biotrue Contact Solution,16.99
2026-03-05,Health & Household|Biotrue Contact Solution,13.92
2026-03-01,Electronics|2 Pack TF Card 32GB with Adapter,16.99
2026-03-01,Electronics|Silkland 8K 4K Micro HDMI to HDMI Cable 6.6ft,11.99
2026-03-01,Health & Household|Kleenex Ultra Soft Facial Tissues,17.98
2026-03-01,Health & Household|Amazon Basics 2-Ply Flex-Sheets Paper Towels,22.86
2026-02-22,BLANK|Google Chromecast - Streaming Device with HDMI Cable - Stream Shows,89.99
2026-02-20,"Patio, Lawn & Garden|LEKEEPGO Door Mat 24""x36""",32.79
2026-02-20,Tools & Home Improvement|Filterbuy 16x25x1 Air Filter MERV 13 Optimal Smoke & Allergy Defense (2-Pack),35.98
2026-02-20,Kitchen & Dining|De'Longhi EcoDecalk Descaler,18.89
2026-02-20,"Patio, Lawn & Garden|TERRO T300-3SR Liquid Ant Killer – 3 Pack Terro Liquid Ant Baits",22.27
2026-02-01,"Clothing, Shoes & Jewelry|adidas unisex-adult Adilette Aqua Slides Black/Black/Black 12",20.0
2026-01-31,Health & Household|Amazon Basics 30 Gallon Multipurpose Drawstring Trash Bags,9.77
2026-01-31,Books|Alice's Adventures in Wonderland and Through the Looking Glass (Masterpiece Library Edition),16.77
2026-01-27,Sports & Outdoors|UREVO Strol 2E Smart 2-in-1 Folding Treadmill,199.99
2026-01-27,Sports & Outdoors|UREVO Strol 2E Smart 2-in-1 Folding Treadmill,199.99
2026-01-26,"Patio, Lawn & Garden|VICTORY RELAX Acacia Wood Round Table",72.99
2026-01-26,"Patio, Lawn & Garden|ULTCOVER Patio Furniture Sofa Cover 74W x 35D x 35H inch Waterproof Outdoor 3-Seater Couch Cover",45.99
2026-01-26,Grocery & Gourmet Food|Nespresso Capsules Original Line,47.5
2026-01-23,Grocery & Gourmet Food|St. Dalfour Red Raspberry Fruit Spread - 10oz - 100% from Fruit,10.25
2026-01-23,Grocery & Gourmet Food|St. Dalfour Strawberry Fruit Spread - 10oz - 100% from Fruit,17.07
2026-01-15,Tools & Home Improvement|Filterbuy 18x25x1 Air Filter MERV 13 Optimal Smoke & Allergy Defense (2-Pack),49.62
2026-06-21,BLANK|Good Time,3.99
2026-05-22,BLANK|Chronicle,2.99
2026-04-10,BLANK|Avatar: Fire and Ash - (Bonus X-Ray Edition),19.99
2026-02-22,BLANK|Sundance Now,0.0
2026-02-12,BLANK|Shout! Factory TV,2.99
2026-02-08,BLANK|A Killer Among Friends,3.99
2026-02-04,BLANK|Shout! Factory TV,0.0
2026-01-09,BLANK|Lifetime Movie Club,49.99
2026-01-02,BLANK|Lifetime Movie Club,0.0
04/06/2026,GLF*STRAWBERRYFARMS IRVINE CA,-163.52
04/06/2026,OC FAIR PARKING COSTA MESA CA,-15.00
04/06/2026,SQ *MELTY EGG NAGOYA Santa Ana CA,-15.00
04/06/2026,SQ *ONIGIRI BY HYUGA Santa Ana CA,-20.97
04/06/2026,TRADER JOE S #111 IRVINE CA,-82.71
04/04/2026,PY *HomeShield Pest Contr714-7021058 CA,-75.00
04/01/2026,EB *OC JAPAN FAIR 2026 801-413-7200 CA,-39.96
04/01/2026,REFAIR.COM* RENAISSANC RENFAIR.COM CO,-106.00
04/01/2026,MOTHER'S MARKET & K IRVINE CA,-39.72
03/30/2026,MARSHALLS #0658 IRVINE CA,-53.83
03/30/2026,EXXON CIRCLE K 09461 IRVINE CA,-74.98
03/30/2026,TRADER JOE S #111 IRVINE CA,-27.03
03/24/2026,TRADER JOE S #111 IRVINE CA,-57.82
03/23/2026,PAYMENT - THANK YOU,621.47
03/23/2026,NORTHERN CAFE IRVINE IRVINE CA,-18.31
03/23/2026,TARGET 00032334 IRVINE CA,-63.42
03/23/2026,NORTHGATE MARKET #044 COSTA MESA CA,-23.20
03/23/2026,NORTHGATE MARKET #044 COSTA MESA CA,-7.65
03/23/2026,NORTHGATE MARKET 44 - TAC714-2576248 CA,-12.92
03/23/2026,CVS/PHARMACY #08869 IRVINE CA,-26.92
03/21/2026,TST*STELLA JEANS ICE CR Costa Mesa CA,-6.74
03/18/2026,TST* POSTINO - PARK PLACEIRVINE CA,-39.24
03/17/2026,FREETAXUSACOM 877-269-9027 UT,-15.99
03/17/2026,GEICO *AUTO 800-841-3000 DC,-248.32
03/16/2026,NORTHERN CAFE IRVINE NORTHERNCAFEICA,-54.84
03/16/2026,TRADER JOE S #111 IRVINE CA,-53.20
03/16/2026,COX OR CO COM PHSV 800-234-3993 CA,-40.00
03/13/2026,PAYPAL *WAVES8D2Q 4029357733,-18.99
03/12/2026,PAYMENT - THANK YOU,65.18
03/12/2026,CVS/PHARMACY #08869 IRVINE CA,-35.41
03/11/2026,ARCO #42382 AMPM IRVINE CA,-108.74
06/25/2026,PY *THE WAYFARER COSTA MESA CA,-40.98
06/25/2026,IN-N-OUT IRVINE IRVINE CA,-14.76
06/23/2026,DEALS CASHBACK,0.20
06/22/2026,PEPPER LUNCH IRVINE CA,-58.24
06/22/2026,DR ROBERT PRESCHER IRVINE CA,-150.00
06/22/2026,www.cvs.com 800-746-7287 RI,-40.37
06/20/2026,BAL ADJ/SQ *NYC STAND-UP,32.00
06/17/2026,GEICO *AUTO 800-841-3000 DC,-242.25
06/16/2026,TRADER JOE S #111 IRVINE CA,-101.88
06/16/2026,UA INFLT 0164705042846HOUSTON TX,-10.00
06/16/2026,EWR CUSTOM BURGERS C1 NEWARK NJ,-41.72
06/15/2026,TST* IL CORALLO NEW YORK NY,-125.01
06/15/2026,LENWICH NEW YORK NY,-37.00
06/15/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/15/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/15/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/15/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/15/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/15/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/15/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/15/2026,BAGELS SCHMEAR NEW YORK NY,-44.09
06/15/2026,SQ *BLANK STREET COFFEE New York NY,-14.04
06/15/2026,TST*CANTO WEST VILLAGE New York NY,-62.82
06/15/2026,TST*BARBOUNIA New York NY,-72.54
06/15/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/15/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/15/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/15/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/13/2026,PATH TAPP PAYGO CP NEW JERSEY NJ,-3.25
06/13/2026,GREENWICH GOURMET MARKET NEW YORK NY,-7.65
06/13/2026,SQ *NYC STAND-UP COMEDY New York NY,-32.00
06/13/2026,SQ *L'INDUSTRIE PIZZERIA New York NY,-33.48
06/13/2026,SQ *LAUGHING MAN CAFE New York NY,-13.94
06/13/2026,SQ *MIKE'S New York NY,-14.15
06/13/2026,"SQ *NOA, A CAFE New York NY",-8.06
06/13/2026,STRAND BOOK STORE RETAIL NEW YORK NY,-25.04
06/13/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/13/2026,TST*BIRDLAND JAZZ CLUB New York NY,-50.77
06/13/2026,One World Obs New York NY,-103.44
06/13/2026,COX OR CO COM PHSV 800-234-3993 CA,-40.00
06/13/2026,MTA*NYCT PAYGO NEW YORK NY,-3.00
06/13/2026,ELEPHENT EAR 690 131-27305592 IL,-101.82
06/12/2026,SEPTA TGZHJ69OHDMX Philadelphia PA,-8.70
06/12/2026,BEILERS DONUTS PHILADELPHIA PA,-4.30
06/12/2026,SQ *787 COFFEE ROASTERS New York NY,-23.95
06/11/2026,RIVERWARDS PRODUCE-BREAD PHILADELPHIA PA,-0.87
06/11/2026,SPO*BYGEORGE-PHILADELPHIAPHILADELPHIA PA,-35.20
06/11/2026,SQ *ANA THORNE LLC Philadelphia PA,-70.00
06/11/2026,SQ *HERSHEL'S EAST SIDE DPhiladerlphiaPA,-22.25
06/11/2026,SQ *MENAGERIE COFFEE Philadelphia PA,-10.80
06/11/2026,SONNY'S FAMOUS PHILADELPHIA PA,-52.31
06/11/2026,PENN MUSEUM 215-8984052 PA,-23.00
06/11/2026,TST* ROTTEN RALPH'S PHILADELPHIA PA,-29.75
06/10/2026,PAYMENT - THANK YOU,300.63
06/10/2026,PAYMENT FROM CHK 3236 CONF#qnwopeany,300.63
06/10/2026,SEPTA TGZHJ69OFL7W Philadelphia PA,-8.75
06/10/2026,OLD CITY KAVA COMPANY PHILADELPHIA PA,-20.07
06/10/2026,TST* LEYE - TAMMIE COE CAPHOENIX AZ,-32.15
06/09/2026,ARCO 914738 IRVINE CA,-108.48
06/09/2026,SNA Harbor Exchange Santa Ana CA,-6.04
06/09/2026,PROPERTYRATE APPRAISAL 877-777-7283 CA,-800.00
02/03/2026,TRADER JOE S #111 IRVINE CA,-37.78
02/02/2026,PAYMENT - THANK YOU,2681.33
02/02/2026,REGAL IRVINE 21 1010 IRVINE CA,-37.98
02/02/2026,SP BUYWINESONLINE BUYWINESONLINIL,-96.86
01/31/2026,TRADER JOE S #111 IRVINE CA,-31.00
01/30/2026,CTLP*CANTEEN VENDING CHARLOTTE NC,-1.35
01/30/2026,CTLP*CANTEEN VENDING CHARLOTTE NC,-2.10
01/30/2026,SHELL OIL 12597112015 IRVINE CA,-74.63
01/30/2026,TST* ANGELINA'S IRVINE CA,-106.89
01/29/2026,UCI MARKETPLACE 9005 949-824-6916 CA,-65.00
01/28/2026,AMZ*The Lovesac Co. 888-636-1223 CT,-71.12
01/27/2026,TRADER JOE S #111 IRVINE CA,-69.39
01/26/2026,JERSEY MIKES 20030 LAKE FOREST CA,-6.68
01/26/2026,STK*Shutterstock 866-6633954 NY,-25.00
01/22/2026,SQ *SGT. PEPPERONI'S PIZZgosq.com CA,-33.40
01/22/2026,WL *Steam Purchase 425-9522985 WA,-13.49
01/20/2026,THE EMPRESS HOTEL LA J LA JOLLA CA,-17.24
01/20/2026,TST*PEPINO La Jolla CA,-34.48
01/19/2026,CVS/PHARMACY #09268 LA JOLLA CA,-23.90
01/19/2026,SUPER IRVINE MISSION VIEJOCA,-40.26
01/19/2026,SQ *BIRD ROCK COFFEE ROASLa Jolla CA,-15.50
01/19/2026,TST*BIRDSEYE PMG HOSPITA La Jolla CA,-74.89
01/19/2026,TURTLE ROCK RIDGE VINEYARLA JOLLA CA,-84.96
01/19/2026,SQ *TRIDENT COFFEE San Diego CA,-6.30
01/17/2026,NORTHERN CAFE IRVINE NORTHERNCAFEICA,-47.30
01/17/2026,GEICO *AUTO 800-841-3000 DC,-248.32
01/15/2026,SHELL OIL 12597112015 IRVINE CA,-74.55
01/15/2026,"TOUCHUPDIRECT, LLC 818-600-8160 CA",-104.52
01/13/2026,COX OR CO COM PHSV 800-234-3993 CA,-40.00
01/12/2026,IN-N-OUT LAGUNA HILLS LAGUNA HILLS CA,-37.00
01/10/2026,NORTHERN CAFE IRVINE IRVINE CA,-65.68
01/10/2026,UNIVERSITY TOWN CENTER 6 IRVINE CA,-34.98
01/10/2026,UCI CAMPUS RECREATION IRVINE CA,-390.00
01/09/2026,AMZ*Jennifer Taylor 800-888-6861 CA,-737.38
01/05/2026,H MART IRVINE WESTPARK L IRVINE CA,-15.56
01/05/2026,MARSHALLS #0658 IRVINE CA,-67.85
01/03/2026,NORTHERN CAFE IRVINE NORTHERNCAFEICA,-51.61
01/02/2026,PAYMENT - THANK YOU,1186.50
01/02/2026,ALBERTSONS #0597 IRVINE CA,-59.14
01/02/2026,GOOGLE *CNN 855-836-3987 CA,-6.99
01/02/2026,Online payment from CHK 3236,1690.70
12/30/2025,TRADER JOE S #111 IRVINE CA,-45.50
12/29/2025,ARCO #42382 AMPM IRVINE CA,-79.65
12/29/2025,SQ *SGT. PEPPERONI'S PIZZgosq.com CA,-49.03
12/29/2025,SP GRAIN WOOD STORE GRAINWOODFURNVA,-516.13
12/26/2025,ALBERTSONS #0527 IRVINE CA,-144.14
12/23/2025,Online payment from CHK 3236,1690.70
12/23/2025,TRADER JOE S #111 IRVINE CA,-15.52
12/22/2025,TRADER JOE S #111 IRVINE CA,-41.35
12/22/2025,PAYPAL *THINGSREMEM 402-935-7733 IL,-48.47
12/22/2025,WALMART.COM 800-925-6278 AR,-32.40
12/22/2025,SEE*SEES CANDIES MO 800-347-7337 CA,-53.45
12/20/2025,SP SYDNEY EVAN JEWELRY SYDNEYEVAN.COCA,-1007.47
12/19/2025,EXECUTIVE AUTO SERVICES IRVINE CA,-145.00
12/19/2025,MOTHER'S MARKET & K IRVINE CA,-9.79
12/18/2025,ASH MORGAN DDS INC NEWPORT BEACHCA,-108.55
12/17/2025,PAYPAL *BUWIZZ 35314369001,-56.85
12/17/2025,GEICO *AUTO 800-841-3000 DC,-248.32
12/15/2025,COX OR CO COM PHSV 800-234-3993 CA,-40.00
12/15/2025,FUKADA IRVINE CA,-62.39
12/15/2025,TST*THE TACO STAND LAGUN LAGUNA BEACH CA,-34.25
12/15/2025,ROGER S GARDENS NEWPORT BCORONA DEL MACA,-319.51
12/15/2025,SP KIIMENTO MISSISSAUGA ON,-72.99
12/15/2025,SQ *SYLVIA SIMMONS Laguna Beach CA,-37.71
12/13/2025,SQ *SAWDUST FESTIVAL ONLIgosq.com CA,-24.00
12/13/2025,SIT N SLEEP LAGUNA HILLS LAGUNA HILLS CA,428.70
12/12/2025,REGAL IRVINE 21 1010 IRVINE CA,-31.20
12/12/2025,ANTHROPOLOGIE 00472 180-02822200 CA,-16.10
06/08/2026,WL *Steam Purchase 425-9522985 WA,-49.99
06/06/2026,NORTHERN CAFE IRVINE IRVINE CA,-29.07
06/06/2026,TARGET STORE T3233 IRVINE CA,-18.74
06/03/2026,TACOS MIRANDA HUNTINGTN BCHCA,-19.34
06/03/2026,TRADER JOE S #111 IRVINE CA,-36.95
06/02/2026,USPS PO 0537130253 IRVINE CA,-11.14
06/02/2026,PY *HOMESHIELD PEST CONTR714-702-1058 CA,-50.00
06/01/2026,PEPPER LUNCH IRVINE CA,-46.63
06/01/2026,TST* BACIO DI LATTE - 601IRVINE CA,-17.60
05/30/2026,PAYMENT FROM CHK 3236 CONF#1kvyab8xl,3122.01
05/30/2026,MOTHER'S MARKET & K IRVINE CA,-21.17
05/28/2026,CTLP*CANTEEN VENDING CHARLOTTE NC,-1.75
05/28/2026,CTLP*CANTEEN VENDING CHARLOTTE NC,-2.10
05/26/2026,SUPER IRVINE MARKET IRVINE CA,-19.72
05/25/2026,TRAVEL CREDIT,840.64
05/25/2026,OC REGIONAL PARKS PARKIN IRVINE CA,-5.00
05/25/2026,SQ *SCRATCH BAKERY CAFE Newport BeachCA,-39.11
05/25/2026,ALBERTSONS #0527 IRVINE CA,-36.17
05/25/2026,TST*LOST PIER Laguna Beach CA,-22.62
05/25/2026,VENTEK LAGUNA BEACH CA,-12.75
05/22/2026,"Hotel at Booking.com Wilmington, NDE",-646.89
05/22/2026,MOTHER'S MARKET & K IRVINE CA,-0.76
05/21/2026,BKG*HOTEL AT BOOKING.C 147-036-3250 NY,-1096.18
05/19/2026,TACO BELL 27505 IRVINE CA,-7.09
05/18/2026,TST*THE LOT FASHION ISLA 949-281-0069 CA,-11.32
05/18/2026,SJC Parking SAN JUAN CAPICA,-8.00
05/18/2026,PY *RANCHO CAPISTRANO WINSAN JUAN CAPOCA,-145.76
05/18/2026,THE COTTAGE GALLERY ON LOSAN JUAN CAPICA,-10.34
05/18/2026,HIDDEN HOUSE COFFEE - SJ SAN JUAN CAPICA,-7.25
05/18/2026,GEICO *AUTO 800-841-3000 DC,-243.02
05/16/2026,UNITED 0162102669665UNITED.COM TX,-420.25
05/16/2026,UNITED 0162102669664UNITED.COM TX,-420.25
05/16/2026,UNITED 0162102659071UNITED.COM TX,-393.40
05/16/2026,ARCO 914738 IRVINE CA,-111.07
05/16/2026,AMERICAN AIR0017414069800FORT WORTH TX,-220.85
05/14/2026,COX OR CO COM PHSV 800-234-3993 CA,-40.00
05/12/2026,SPORT CLIPS - CA522 IRVINE CA,-41.00
05/11/2026,PAYMENT - THANK YOU,381.83
03/07/2026,INTEREST CHARGED ON PURCHASES,-12.66
03/07/2026,PAYMENT - THANK YOU,1302.94
03/07/2026,SUPER IRVINE MARKET IRVINE CA,-52.52
03/06/2026,LATE FEE FOR PAYMENT DUE,-29.00
03/06/2026,WL *STEAM PURCHASE 425-889-9642 WA,-19.99
03/06/2026,CITY OF ANAHEIM CONV CTR ANAHEIM CA,-25.00
03/04/2026,TRADER JOE S #111 IRVINE CA,-13.97
03/03/2026,PAVILIONS #1911 NEWPORT BEACHCA,-51.74
03/02/2026,BARNES&NOBLE PAPERSOURCE 800-843-2665 NY,-3.32
02/28/2026,LAS BARCAS GOURMET MEXIC HUNTINGTON BECA,-64.56
02/26/2026,ACE PARKING 2211 IRVINE CA,-4.50
02/23/2026,TRADER JOE S #111 IRVINE CA,-87.34
02/23/2026,SPORT CLIPS - CA522 IRVINE CA,-46.00
02/23/2026,SP BIRD COLLECTIVE BIRDCOLLECTIVNY,-28.27
02/21/2026,"NESPRESSO USA, INC. NESPRESSO.COMNY",-75.00
02/19/2026,SHELL OIL 12597112015 IRVINE CA,-75.06
02/17/2026,ALBERTSONS #0527 IRVINE CA,-51.10
02/17/2026,GEICO *AUTO 800-841-3000 DC,-248.32
02/16/2026,PY *HAUTE CAKES CAFFE NEWPORT BEACHCA,-52.80
02/13/2026,COX OR CO COM PHSV 800-234-3993 CA,-40.00
02/10/2026,TRADER JOE S #111 IRVINE CA,-32.50
02/09/2026,NICKS NEWPORT BEACH 949-3332711 CA,-150.85
05/05/2026,THE TOLL ROADS OF OC 949-727-4800 CA,-14.33
05/04/2026,NORTHGATE MARKET #044 COSTA MESA CA,-45.22
05/04/2026,NORTHGATE MARKET #044 COSTA MESA CA,-9.79
05/04/2026,GF* WWW.GP-FILTER.COM WWW.GP-FILTER,-54.99
05/02/2026,PY *HOMESHIELD PEST CONTR714-702-1058 CA,-50.00
04/30/2026,UCI MARKETPLACE 9005 949-824-6916 CA,-65.00
